2816	2816	763	863	863	1050	1050	1050	1050	1874	691	691	1326
3218	3218	763	669	669	669	565	727	727	1286	1286	691	1326
3218	3218	763	669	1181	1181	565	565	565	1142	1286	691	1326
1010	1010	587	587	1181	1181	1677	1677	1677	1142	887	887	1205
2046	2046	587	587	1181	0	0	0	380	887	887	887	887
2046	2046	2046	750	682	0	0	0	2431	887	887	887	887
2046	2046	2046	750	682	0	0	0	2431	1424	1424	1424	863
1842	1842	1994	1994	750	0	0	0	2431	2251	1424	1424	863
1842	1842	1994	1397	890	1077	1143	1358	2431	2251	1488	863	863
2876	1842	1994	1397	2976	1077	1143	1358	1358	1919	1488	863	1370
2876	1994	2243	2243	3757	1143	1358	1358	1358	1919	1488	1488	1370
3646	1994	2243	2243	3757	1338	1358	1358	1358	1358	1358	1488	2174
3646	3757	3757	3757	3757	1338	1358	1358	1358	1358	1358	1488	2174
